path,bytes,sha256,review_scope
desktop-app/src-tauri/icons/128x128@2.png,11083,418d5a8b76cfa2a4edc9fd1014c39061ef2444f1cf587b6aedae5a537a9d6f9a,binary metadata only
desktop-app/src-tauri/icons/32x32.png,1334,efcf38386bd62168d5332216b19c6f466e5492fb264dac93bff24e6cb832c231,binary metadata only
desktop-app/src-tauri/icons/512x512.png,14259,d9a4d1a1ac903fc4c9262aa32eb01743abe7f3649fab7b9024a6fbbb5bde7175,binary metadata only
desktop-app/src-tauri/icons/icon.ico,361102,603fbf745bb04d5f62734673cd6cb304935cf40eb24bbdac6c37f3f374897359,binary metadata only
desktop-app/src-tauri/icons/icon.png,14259,d9a4d1a1ac903fc4c9262aa32eb01743abe7f3649fab7b9024a6fbbb5bde7175,binary metadata only
desktop-app/src-tauri/icons/icons.ps1,2731,9f4b9fe8d62809009eda0e20484accf9cecf82f75575cdf14da0e35ee7301937,source/config/docs
desktop-app/src-tauri/installer-hooks.nsh,1473,b12f12dccdffe1434c9bef04dd40bb7a60b57a65e34c538dbfb818923a923cbb,source/config/docs
desktop-app/src-tauri/src/commands.rs,13350,0ed73d547b6dcfee20d725e7cb751cd601a37969882db38c0846f9fd32b6330f,source/config/docs
desktop-app/src-tauri/src/ha_client.rs,13449,959a81298eac005a061476ab08fc4fe54eb43a6ce1ba8864882f43f5b03b1376,source/config/docs
desktop-app/src-tauri/src/lib.rs,13468,c878d733e88846de20939ab731e5580a8dcc5ef67d8646c2aee8fa01a008d03b,source/config/docs
desktop-app/src-tauri/src/logging.rs,2941,7ce380ff72398a2b9ce02cf1b5827472f8d757b49b5ac5bb842b40051f606297,source/config/docs
desktop-app/src-tauri/src/main.rs,245,dcbad1499967c708be1f8177f530274136afbe398076f17e43c2e1f68ff24b69,source/config/docs
desktop-app/src-tauri/src/registration.rs,6357,15bcdb5ed082c2afea2baf746556fcec29d31a62e1e8b3468a716846ab33cf74,source/config/docs
desktop-app/src-tauri/src/sensors/battery.rs,1911,0de83913632b6e6ce697bcc1d08c4a0a0db5430a04c201c8bdbf154c4629e507,source/config/docs
desktop-app/src-tauri/src/sensors/collector.rs,37846,ad0ec9781bdb4c03584d90c38c96da3ddefd1a0b00cbe9fb2c94d8b05e45b7ad,source/config/docs
desktop-app/src-tauri/src/sensors/cpu.rs,13268,a31846bc8788f58dfee00aa682976303cfb68510236a39aa3a50bb1be9e5bd1a,source/config/docs
desktop-app/src-tauri/src/sensors/disk.rs,1722,9e676079ad5edebced9aa6c0a931d990bae4d46a6c71bff7cce0ec817ca12118,source/config/docs
desktop-app/src-tauri/src/sensors/gpu.rs,8102,ec43a0d553ff99d744e0804d293b97e2d9f5495263d7ea93ebec5d1264b615f3,source/config/docs
desktop-app/src-tauri/src/sensors/memory.rs,1070,7d28ac1c1489df38d4bae2f84985e3d0fa8f122cdefbd448960e6fc12822b06d,source/config/docs
desktop-app/src-tauri/src/sensors/mod.rs,174,76029c903fc4baf0a35192b6b23841f923a0d7863b86b19ffcd2d4c763275119,source/config/docs
desktop-app/src-tauri/src/sensors/network.rs,1139,6fb250b775c605da98612cbe1fc90f5cadad836b8cd872a4051744b46604a637,source/config/docs
desktop-app/src-tauri/src/sensors/system_info.rs,12968,09f11430d7264c6ebd4011d4a92a9e519344e6466b53f9c006df42d68d298ba4,source/config/docs
desktop-app/src-tauri/src/sensors/winring0.rs,11192,518ddd5022efc0f9e819f44a10c5e598871d0901720e2fe245d320b89c4dc112,source/config/docs
desktop-app/src-tauri/src/settings.rs,4146,ec67dce3f586fa27befc25b8f2ddc7d1c09abd625d81f7b41c065008266c3156,source/config/docs
desktop-app/src-tauri/src/shutdown_hook.rs,3336,71f006cb582da3f39a72b4a2be3225aadf5e5285042f07e598b4a46edd2d3efa,source/config/docs
desktop-app/src-tauri/tauri.conf.json,1421,9356e5de3e181e4d8e504ad532f39e9e9fea8bda214c3f2db698884aad866834,source/config/docs
desktop-app/src/i18n.js,7190,ec095595e0faebbba454b5c419a67cb83e6be8ac7eb942623b80918754d6b3cb,source/config/docs
desktop-app/src/main.js,7564,13f05b1799d784e74cf79ac1bd9477a75070f9ba3e5bd7e77017523fcf2a4b53,source/config/docs
desktop-app/src/particles.js,2698,decd06ab9936789d05b6d38a8b9964614b161d8fb5da8ead9205d15c922723a8,source/config/docs
desktop-app/src/settings.js,8590,6d011719a7a019628abe221aa3ccd74073241ec27f652b7ffd820c36ce3e4a82,source/config/docs
desktop-app/src/styles.css,16183,402c96f14cc4755715c71673b559a75e3a6bf8da807cd560cd16f0c2cbe2afa2,source/config/docs
desktop-app/vendor/tsparticles.preset.links.bundle.min.js,96473,8b77405cac147e4eab3d943e55d3cd8d5910c916c9510dec8973553138d93025,vendored bundle: header/dependency review
desktop-app/yarn.lock,30421,ad2bee0829c6c1276537063f096bbb1874e9997dc95a6dc5d8e14e7fa1eba295,source/config/docs
docs/superpowers/plans/2026-05-27-phase-1-sensor-bugfixes-and-release-logging.md,33638,275e38c88a4b53629051f523250bee82ccac867b33d719ffd50c361fba7a15d8,source/config/docs
docs/superpowers/plans/2026-05-27-phase-2-bundled-hwmon-sidecar-mvp.md,48582,762596f1f2b7acf7a71ed93fecece880742586d4608cfedfa7b4331d2e66ac80,source/config/docs
docs/superpowers/plans/2026-05-27-phase-3-availability-and-shutdown-hook.md,43547,8aba9aacc7f4f0093a7975cd6fb6bcbe4d41d22e75f797211116f918ae793075,source/config/docs
hacs.json,367,126f0c31658c6b0d853cd93447123c48d55a0f45a61564398637a81711d378d8,source/config/docs
ha-integration/.gitignore,12,9acef43c4e958b8398cc7cc5357daf45de3c1c12794eea0f51988d3a20d4a930,source/config/docs
ha-integration/README.md,8185,1eda8923f8c8450dcd4fd6170f90e0c9abbdf7348d0cd1d8196c1ae0889bd454,source/config/docs
ha-integration/custom_components/desktop_app/__init__.py,6377,0db1ba2da32c0529913191ed6f80cf6948e652dc7b87d5211be9a2b020c40b7f,source/config/docs
ha-integration/custom_components/desktop_app/availability.py,7423,a280804867f70a5e359d22cc57b002985afb67f757067a78b827fc86216e69ed,source/config/docs
ha-integration/custom_components/desktop_app/binary_sensor.py,5277,6074b7454c605845f3435608bbf6ae06d418d62a0cf43b105158889d196754de,source/config/docs
ha-integration/custom_components/desktop_app/config_flow.py,1868,9a36fd3c2ff06bd3e673d158659d1e72a1a3d8a01bae0d1aae21c58be191da6f,source/config/docs
ha-integration/custom_components/desktop_app/const.py,2300,a8fae5a014839423702b283a4b7ed99e3995c7099cc2e63ebd9994c069dd3c68,source/config/docs
ha-integration/custom_components/desktop_app/entity.py,5579,23ba76dfa29c5ca61ddf2bce7ac917de4f7b641ed2072cd393f862fb7736c9b9,source/config/docs
ha-integration/custom_components/desktop_app/helpers.py,1760,8792c44402959e3e4a2fa1181955d911f5763312b4ad806b88bf7dbd101e65bc,source/config/docs
ha-integration/custom_components/desktop_app/http_api.py,7135,a44e5e236da816a7da029b21e82600d4865c85212854f4265298ae82d158a773,source/config/docs
ha-integration/custom_components/desktop_app/manifest.json,402,5fb77cd12fd7b951615ae14f641f7dbcd0a3e6f09477c2dab4b9f63f33c34f12,source/config/docs
ha-integration/custom_components/desktop_app/sensor.py,4522,33e8a1cf4f503e106d64f9a97deb1830fc1c7dca1a65f213a11ed05de5717884,source/config/docs
ha-integration/custom_components/desktop_app/strings.json,408,b4d937a7f71fb693561976d8f9da06933e7d9ac977f58be9a0c7f28b7c392efd,source/config/docs
ha-integration/custom_components/desktop_app/translations/en.json,408,b4d937a7f71fb693561976d8f9da06933e7d9ac977f58be9a0c7f28b7c392efd,source/config/docs
ha-integration/custom_components/desktop_app/translations/nl.json,420,5385f4c60ab3c26980894fd8c41e66e6ffe6faa2f728104bc831089d682e57a7,source/config/docs
ha-integration/custom_components/desktop_app/webhook.py,10096,04e06cb2d017dadbad547f10900bf8f6d7f371bcaead482e15b9f86193763130,source/config/docs
ha-integration/hacs.json,367,126f0c31658c6b0d853cd93447123c48d55a0f45a61564398637a81711d378d8,source/config/docs
ha-integration/icons/128x128.png,1526,bb701b569c61de110ac97f6a0518a23c639a419da78769c79b6674adde715bcc,binary metadata only
ha-integration/icons/128x128@2.png,2869,ea1b5b1d1e5d7937ad7329b86c79f91d237facd17434bd7b6f381b56728a11d0,binary metadata only
ha-integration/icons/32x32.png,518,a78eb13d24b7af3e7d293708f310e6db8e284bba3a2c323aac3bb3f54c3f9891,binary metadata only
ha-integration/icons/512x512.png,7984,ddb4fe5f75720666f5b799a2770e253f14645e04b1298b70a3b1b46345d0d6aa,binary metadata only
ha-integration/icons/icon.ico,10927,89cb99f55055c8ab15acd3e3a042e5afff3fe20c95a4c10bb05816419a85ad2c,binary metadata only
ha-integration/icons/icon.png,2869,ea1b5b1d1e5d7937ad7329b86c79f91d237facd17434bd7b6f381b56728a11d0,binary metadata only
ha-integration/tests/test_availability.py,4369,710794447b7d8a95380494a703c54df096a2fdf30dcdf322fe63361c04468d62,source/config/docs
